'im','output','flag','username','timestamp'
'im/0.jpg','{"lion": 0.9404471516609192, "lynx": 0.0037871457170695066, "cheetah": 0.0028507488314062357}','','','2022-08-23 21:02:25.857639'
'im/1.jpg','','','','2022-08-23 21:03:03.686630'
'im/2.jpg','{"cheetah": 0.8221367597579956, "lion": 0.02488129772245884, "snow leopard": 0.015350265428423882}','','','2022-08-23 21:04:54.675917'
